phrase,prompt
I feel dizzy whenever I stand,Feeling dizzy
When I play sports  I have some burning sensation in my spine,Back pain
I feel feel like the world goes round and round,Feeling dizzy
pain joints. not my can pain I in bear is There,Joint pain
['I tr8eC alot of srean but i still feel the same CkUn proVOeH'],Skin issue
my badly month face My every break cycle. around out,Acne
sharp too I a think my I head in hard. pain when feel,Head ache
severe pain May in the upper left side of chest and may have pain to back,Heart hurts
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
my ear hurts me badly,Ear ache
pain there pain in my foot,Foot ache
iodine feel angstrom strange and powerful pain inside my rib cage,Heart hurts
"It is hard to breath when I in the underground metro station,",Hard to breath
In the morning my respiration be is loud.,Hard to breath
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound
['The pa7j in my ear is Hnveadable.'],Ear ache
iodine get acne when iodine Ate chili,Acne
['I feel abdoJ&nao oa&n'],Stomach ache
When I sneeze very hard I feel ear ache,Ear ache
iodine bash not know why iodine feel cold,Feeling cold
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
I felt felt my heart hurts when I ran for along distance,Heart hurts
['My heQW is qpinjibg wu2n I get up.'],Feeling dizzy
iodine hve cut my finger because of playing football and iodine to use pain relief cream merely information_technology Department_of_Energy not aid,Injury from sports
around my heart doesn't,Heart hurts
"['My h$qd jurtx and I >osw the Xensat(oM in my fWve, then lose w9ght in my eye']",Head ache
lower_berth I have a sharp pain in my lower stomach.,Stomach ache
When pain father felt I a emotional my died grand hard,Emotional pain
"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?",Blurry vision
discomfort still I plane have a ears. had I in I last travelled the my cold time by a and,Ear ache
['I :osD a lot of my Gwir'],Body feels weak
standing back less than five minutes and my back start to ache,Back pain
rash skin my a on I have,Skin issue
iodine Washington playing football and injuried with joint pain.,Joint pain
"I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough.",Feeling cold
['How do you lmow if you hSDe a ^9rn meniscus in yPud kg4e?'],Knee pain
When I remember her I feel down,Emotional pain
My television and computer seem out of focus even though I have new glasses.,Blurry vision
iodine rich_person film_over vision.,Blurry vision
['My EigTt Zhokldrr clicks Eheh I move my arm.'],Shoulder pain
information_technology feel like my heart be departure to leap out of my body. information_technology hurts.,Heart hurts
move too i when there pain my is arm much,Joint pain
I feel iodine emotionally crushed,Emotional pain
When I force my eyes to view I have blurry vision.,Blurry vision
in I important vision noticed things my when to try at decrease close. I an look up,Blurry vision
i feel cold,Feeling cold
have trouble travel my knee,Knee pain
When iodine play football iodine rich_person joint pain.,Joint pain
I feel a tightness in my chest,Hard to breath
increased heart prick,Heart hurts
I have a ache in head,Head ache
"['My shoQ#r drain is d6ll of hair every ti,d.']",Hair falling out
iodine use to rich_person acne when iodine Washington fifteen old_age old,Acne
My heart feel like it's departure to explode.,Heart hurts
iodine think iodine overdo information_technology when iodine transport all that lumber from the yard. My lower_berth back be killing me.,Back pain
iodine hit my head astatine the basketball game. Could iodine rich_person angstrom concussion?,Injury from sports
on my at gym. the infected showers foot from a the became I cut using that have,Infected wound
"iodine rich_person angstrom foot ache inch winter, Oregon when information_technology feel cold, why?",Foot ache
the below My hurt right and knees cap them. I weight when on swell knee put,Knee pain
"I diagnosed with B12-deficiency anemia, which explains why I always felt cold.",Feeling cold
My body feels weak although I take my vitamins regularly.,Body feels weak
The severe pain in the stomach I feel,Stomach ache
Have severe cold severe and cough,Cough
I have a dull ache in my head,Head ache
My neck feels stiff,Neck pain
iodine feel sad,Emotional pain
My heart feel like it's departure to explode.,Heart hurts
Is there a cure for acne?,Acne
joint every I pain time feel move I,Joint pain
I acne. my hate,Acne
When iodine get out of bed inch the morning my body feel very weak.,Body feels weak
"I nose, lessons and now. my killing taking through I sinusitis swimming because I this me is much started guess swallowed too water",Injury from sports
of pain I intervals shoulder time. feel at,Shoulder pain
When iodine go to sleep iodine americium feeling cold,Feeling cold
What helps cuts heal cut faster?,Open wound
I have pain in my colon and my stomach like something cutting it,Stomach ache
"iodine Washington diagnose with B12-deficiency anemia, which explain why iodine always felt cold.",Feeling cold
can't to me I I calm and heart tried hurts Oh be my,Heart hurts
i hardly breathe,Hard to breath
I feel pain in the knee,Knee pain
