phrase,prompt
I have a ache in my lower makes it to,Back pain
regularly. I my My body feels weak although vitamins take,Body feels weak
Mr hair is just by combing,Hair falling out
I feel heart pain when I walk a lot,Heart hurts
I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain
when my had a I knee in was I swimming pain,Knee pain
I feel a great amount of pressure of my head.,Head ache
['I have OWin in my chest 5hst sxrdFns me.'],Heart hurts
['I hac$ a cut on my foot that beDaNe imf#ct$d gGom usiBy the QhpEers at the gym.'],Infected wound
My knees seem to grind as I go up or down stairs. down,Knee pain
iodine rich_person angstrom problem inch my center ear make by infection,Ear ache
"iodine barely rich_person enough stength to get up,",Body feels weak
iodine interrupt my ankle while make rock climb inch the Carpathians.,Injury from sports
['I m re#linh SolC 6hIugh the temperature is high'],Feeling cold
I have dry a dry skin,Skin issue
I tried alot of cream but i still feel the same skin problem,Skin issue
my temperature get dropped and my body get synosed,Feeling cold
I feel pain in the lower back,Back pain
iodine feel severe itch inch the skin with inflammation,Skin issue
My neck be annoyance Maine iodine can't sleep bacause of information_technology,Neck pain
['i cant br#atgs'],Cough
neck hurts me and i can't stand with this pain,Neck pain
I feel strong pain in my knee iodine after it was hit during the football match.,Injury from sports
full arms have range with my don't motion of I,Shoulder pain
iodine wish this torment feeling of loss could go away.,Emotional pain
feel When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
iodine love to walk and beryllium outside merely the bottom of my foot get sore sol quickly.,Foot ache
feel with rate prick increased I heart,Heart hurts
head is so can't normally,Head ache
"I am struggling on to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
i was playing football and injuried with joint pain.,Joint pain
"[""1hXt ' s the syN)tojs of a)Lebdicit(s?""]",Internal pain
When I stand up too quickly to feel dizzy and light-headed,Feeling dizzy
I prefer tea over,out of context
I can't move my head up and,Neck pain
I feel a great amount of pressure on pressure the sides of my neck,Shoulder pain
My son has a lot of acne.,Acne
My color favorite color is,out of context
cramps along the whole abdomen,Stomach ache
computer though My have of television and glasses. out focus new even I seem,Blurry vision
hiking I inch love going in mountains.,out of context
I'm have angstrom difficult time reading because the letters are all fuzzed,Blurry vision
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out
extend there is pain in,Knee pain
i was watching tv and suddenly have Washington blurry vision,Blurry vision
because I Sometimes I'm a cough smoker,Cough
I feel pain in my neck after waking up,Neck pain
tennis my pain match. right in shoulder the feel after I,Injury from sports
